S12_001,S12_037,pref
近鉄長島,2963,24
追分,0,24
鈴鹿,577,24
鈴鹿サーキット稲生,261,24
鈴鹿市,3503,24
長太ノ浦,1244,24
関ノ宮,0,24
阿下喜,638,24
阿倉川,4376,24
霞ヶ浦,3680,24
青山町,1808,24
馬道,785,24
高田本山,1851,24
高角,707,24
鳥羽,4406,24
鵜方,2012,24
麻生田,259,24
鼓ヶ浦,1252,24
おごと温泉,13058,25
ひこね芹川,239,25
びわ湖浜大津,5532,25
スクリーン,1267,25
フジテック前,549,25
マキノ,652,25
三井寺,1693,25
三雲,3974,25
上栄町,1393,25
中ノ庄,1509,25
五箇荘,186,25
京セラ前,121,25
京阪大津京,6206,25
京阪石山,7696,25
京阪膳所,6618,25
信楽,892,25
八日市,4205,25
勅旨,55,25
北小松,794,25
南滋賀,1891,25
和邇,4732,25
唐崎,7696,25
唐橋前,1966,25
坂本比叡山口,2935,25
堅田,15956,25
多賀大社前,270,25
大学前,211,25
大津京,19274,25
大津市役所前,2984,25
大谷,319,25
太郎坊宮前,304,25
安曇川,3372,25
寺庄,1506,25
小野,5978,25
尼子,496,25
島ノ関,1966,25
市辺,449,25
平田,321,25
彦根口,939,25
志賀,2102,25
愛知川,786,25
手原,6116,25
新八日市,1060,25
新旭,2310,25
朝日大塚,145,25
朝日野,60,25
松ノ馬場,1464,25
桜川,258,25
武佐,458,25
比叡山坂本,11280,25
比良,3098,25
水口,725,25
水口城南,1047,25
水口松尾,135,25
水口石橋,135,25
永原,246,25
河辺の森,36,25
油日,574,25
滋賀里,2033,25
玉桂寺前,16,25
瓦ヶ浜,1284,25
甲南,1712,25
甲西,4710,25
甲賀,1510,25
石場,2796,25
石山寺,2559,25
石部,3756,25
穴太,883,25
粟津,1389,25
紫香楽宮跡,132,25
膳所本町,2582,25
草津,0,25
蓬莱,1980,25
貴生川,10880,25
近江中庄,256,25
近江今津,4204,25
近江八幡,5266,25
近江塩津,0,25
近江神宮前,1358,25
近江舞子,1530,25
近江高島,1672,25
追分,1511,25
錦,1928,25
長谷野,169,25
雲井,145,25
高宮,308,25
鳥居本,232,25
くいな橋,5884,26
トロッコ亀岡,4390,26
トロッコ保津峡,13,26
トロッコ嵐山,1890,26
トロッコ嵯峨,2580,26
一乗寺,2272,26
七条,14214,26
三宅八幡,583,26
三室戸,4038,26
三山木,4746,26
三条,38421,26
三条京阪,26816,26
上桂,7835,26
上狛,782,26
上鳥羽口,8128,26
下天津,2,26
下狛,846,26
中書島,12438,26
丸太町,22252,26
丹波橋,45161,26
久津川,7293,26
九条,5274,26
二ノ瀬,56,26
二俣,1,26
二条,20048,26
二条城前,10348,26
二軒茶屋,1356,26
五条,14360,26
京田辺,12610,26
京都,208819,26
京都市役所前,28240,26
京都精華大前,1069,26
京阪山科,3981,26
今出川,27761,26
伊勢田,6933,26
伏見,7408,26
伏見桃山,10874,26
伏見稲荷,13685,26
修学院,2892,26
元田中,906,26
八幡前,625,26
八瀬比叡山口,788,26
公庄,1,26
六地蔵,37226,26
出町柳,49425,26
北大路,30644,26
北山,14482,26
北野白梅町,3356,26
十条,13189,26
同志社前,9318,26
向島,15839,26
喜多,1,26
四宮,2037,26
四条,99307,26
四条大宮,5913,26
国際会館,25567,26
城陽,7022,26
墨染,7681,26
大久保,25445,26
大住,3796,26
大江,81,26
大江山口内宮,9,26
大江高校前,168,26
太秦天神川,16966,26
太秦広隆寺,1529,26
妙心寺,566,26
宇多野,527,26
宇治,23148,26
宝ヶ池,795,26
宮村,7,26
宮津,0,26
富野荘,6307,26
寺田,8691,26
小倉,15940,26
小野,7286,26
山ノ内,1023,26
山城多賀,868,26
山城青谷,1888,26
山田川,4280,26
山科,43689,26
岩倉,1284,26
嵐山,13792,26
嵐電天神川,4754,26
嵐電嵯峨,1665,26
市原,766,26
帷子ノ辻,3457,26
常盤,1429,26
御室仁和寺,628,26
御陵,14207,26
撮影所前,620,26
新田,6266,26
新田辺,24474,26
新祝園,14793,26
有栖川,2149,26
木幡,10539,26
木津,0,26
木津川台,2388,26
木野,393,26
東寺,9285,26
東山,19336,26
東福寺,37181,26
東舞鶴,3024,26
東野,11869,26
松ヶ崎,11609,26
松井山手,13752,26
松尾大社,5075,26
松尾寺,92,26
桂,0,26
桃山,4166,26
桃山南口,4671,26
桃山御陵前,15214,26
梅迫,166,26
棚倉,1120,26
椥辻,16821,26
橋本,5035,26
淀,16120,26
淵垣,348,26
清水五条,9196,26
烏丸御池,110177,26
牧,15,26
狛田,2849,26
玉水,1966,26
真倉,46,26
石田,6815,26
祇園四条,56167,26
祝園,4404,26
神宮丸太町,8348,26
福知山,931,26
福知山市民病院口,40,26
稲荷,18636,26
竹田,30957,26
綾部,0,26
興戸,10496,26
茶山,1778,26
荒河かしの木台,28,26
藤森,12586,26
蚕ノ社,754,26
西大路三条,1006,26
西大路御池,12014,26
西木津,916,26
西舞鶴,2810,26
西院,5110,26
観月橋,4265,26
貴船口,703,26
蹴上,11839,26
車折神社,2520,26
辛皮,5,26
近鉄丹波橋,46900,26
近鉄宮津,422,26
醍醐,13263,26
長池,2396,26
鞍馬,896,26
鞍馬口,10087,26
鳥羽街道,3105,26
鳴滝,945,26
鹿王院,1193,26
黄檗,12746,26
龍安寺,1164,26
JR淡路,0,27
JR野江,0,27
ときわ台,2260,27
なにわ橋,2353,27
みさき公園,4846,27
りんくうタウン,18966,27
コスモスクエア,0,27
トレードセンター前,12895,27
ドーム前,9478,27
フェリーターミナル,3539,27
ポートタウン東,13443,27
ポートタウン西,8556,27
ユニバーサルシティ,62958,27
七道,11367,27
万博記念公園,0,27
三ツ松,412,27
三ヶ山口,289,27
三国ヶ丘,40342,27
三日市町,14668,27
上ノ太子,4528,27
上野芝,17518,27
下新庄,8477,27
下松,7912,27
中ふ頭,5440,27
中之島,9706,27
中百舌鳥,23877,27
久宝寺口,5445,27
久米田,13348,27
九条,14251,27
二色浜,4528,27
井原里,3141,27
交野市,9120,27
京橋,426307,27
今宮,0,27
今川,4295,27
今池,86,27
今船,125,27
今里,10901,27
伝法,8272,27
伽羅橋,1544,27
住ノ江,12219,27
住之江公園,0,27
住吉,971,27
住吉公園,0,27
住吉大社,9033,27
住吉東,6484,27
住吉鳥居前,1455,27
住道,62196,27
俊徳道,6699,27
信太山,8028,27
信貴山口,1380,27
光善寺,17678,27
光明池,30453,27
光風台,3523,27
八戸ノ里,27151,27
出来島,10517,27
初芝,17122,27
加島,17928,27
北信太,12328,27
北助松,12485,27
北千里,25728,27
北天下茶屋,89,27
北新地,102244,27
北浜,30430,27
北田辺,5277,27
北畠,2357,27
北野田,33989,27
千代田,13988,27
千早口,234,27
千林,7997,27
千船,16783,27
千里中央,42048,27
千里山,15790,27
千鳥橋,9392,27
南千里,23368,27
南吹田,0,27
南摂津,9685,27
南港口,4740,27
南港東,3880,27
南田辺,8614,27
南茨木,30713,27
古川橋,19659,27
古市,20937,27
吉田,15369,27
吉見ノ里,3858,27
名越,420,27
吹田,15409,27
和泉中央,33205,27
和泉大宮,4696,27
和泉府中,35008,27
和泉橋本,6554,27
和泉砂川,8552,27
和泉鳥取,4416,27
喜志,17226,27
四条畷,37498,27
土居,4858,27
土師ノ里,7284,27
城北公園通,0,27
堅下,3821,27
堺,38564,27
堺市,24038,27
堺東,59855,27
塚西,133,27
多奈川,638,27
大和川,107,27
大和田,18734,27
大小路,767,27
大日,14885,27
大正,49552,27
大江橋,4960,27
大阪,0,27
大阪上本町,77990,27
大阪城公園,25756,27
大阪城北詰,10688,27
大阪天満宮,51160,27
大阪教育大前,6484,27
大阪狭山市,9431,27
大阪空港,17003,27
大阪阿部野橋,162589,27
大阪難波,168256,27
天下茶屋,74719,27
天満,52866,27
天満橋,48054,27
天王寺,0,27
天王寺駅前,12106,27
天神ノ森,140,27
天神橋筋六丁目,0,27
天見,367,27
妙国寺前,287,27
妙見口,890,27
姫島,13812,27
姫松,2012,27
孝子,115,27
宇野辺,7583,27
守口市,31407,27
安堂,2387,27
安治川口,26038,27
安立町,1123,27
宮之阪,5052,27
宿院,646,27
富木,7940,27
富田林,13577,27
富田林西口,6537,27
寝屋川公園,9080,27
寝屋川市,54221,27
寺地町,387,27
寺田町,34530,27
少路,12820,27
尾崎,10203,27
山中渓,354,27
山田,41879,27
岡田浦,2415,27
岸和田,24104,27
岸里玉出,7031,27
川西,3830,27
布忍,5057,27
布施,39370,27
帝塚山,7835,27
帝塚山三丁目,1617,27
帝塚山四丁目,1195,27
平林,4875,27
弁天町,67662,27
弥刀,10299,27
御幣島,26874,27
御殿山,11641,27
御陵前,411,27
徳庵,21060,27
忠岡,9497,27
恩智,5316,27
恵我ノ荘,10677,27
恵美須町,655,27
我孫子前,8483,27
我孫子町,12562,27
我孫子道,2477,27
摂津,5297,27
放出,67588,27
新今宮,228790,27
新今宮駅前,723,27
新加美,4214,27
新大阪,126938,27
新家,5440,27
新石切,18240,27
新福島,20436,27
日根野,17584,27
星ヶ丘,4384,27
星田,16290,27
春木,14694,27
服部川,2043,27
杉本町,18190,27
村野,4774,27
東佐野,2650,27
東天下茶屋,1548,27
東岸和田,22186,27
東湊,885,27
東玉出,95,27
東粉浜,100,27
東羽衣,10452,27
東花園,19107,27
東貝塚,4968,27
松ノ浜,4042,27
松田町,87,27
松虫,979,27
枚岡,4799,27
枚方公園,18229,27
枚方市,81620,27
柏原,0,27
柏原南口,971,27
柴島,4596,27
栂・美木多,19488,27
桃谷,36530,27
桜ノ宮,35002,27
桜井,9962,27
桜島,25482,27
桜川,5516,27
森,697,27
森ノ宮,50164,27
森小路,8495,27
樟葉,54304,27
樽井,7967,27
水間観音,1289,27
汐ノ宮,2190,27
沢ノ町,8303,27
沢良宜,3614,27
河内国分,16458,27
河内天美,16958,27
河内小阪,26959,27
河内山本,20281,27
河内松原,29976,27
河内森,8869,27
河内永和,10987,27
河内磐船,22360,27
河内花園,10987,27
河内長野,39349,27
河堀口,3116,27
泉ヶ丘,40811,27
泉佐野,24360,27
泉大津,29199,27
法善寺,3944,27
津久野,16896,27
津田,11080,27
浅香,4444,27
浅香山,8617,27
浜寺公園,4314,27
浜寺駅前,832,27
海老江,23124,27
淀屋橋,96075,27
淀川,5183,27
淡路,0,27
淡輪,2149,27
深井,25811,27
深日港,708,27
深日町,528,27
清児,1234,27
渡辺橋,8449,27
湊,6647,27
滝井,5285,27
滝谷,5306,27
滝谷不動,6914,27
熊取,22186,27
牧落,7656,27
牧野,19772,27
狭山,6032,27
玉造,33838,27
瓢箪山,21783,27
白鷺,10524,27
百舌鳥,7776,27
百舌鳥八幡,4536,27
矢田,9340,27
石切,8887,27
石才,425,27
石津,375,27
石津北,403,27
石津川,14326,27
神ノ木,620,27
神明町,400,27
福,12991,27
福島,59146,27
私市,2519,27
箕面,14553,27
箱作,4992,27
粉浜,4187,27
細井川,719,27
綾ノ町,564,27
美加の台,3787,27
美章園,10542,27
羽倉崎,6266,27
羽衣,22227,27
聖天坂,204,27
船尾,568,27
芦原橋,11708,27
花田口,402,27
若江岩田,15832,27
荒本,16277,27
萩原天神,7523,27
萱島,23665,27
藤井寺,35802,27
藤阪,6428,27
蛍池,28834,27
蛸地蔵,4786,27
衣摺加美北,3062,27
西三荘,16385,27
西九条,100208,27
諏訪ノ森,7810,27
豊津,13256,27
貝塚,24509,27
貝塚市役所前,239,27
近義の里,226,27
近鉄八尾,37867,27
近鉄日本橋,50224,27
道明寺,6643,27
郡津,5748,27
野崎,22400,27
野江,10929,27
野田,57509,27
金剛,33341,27
針中野,9275,27
長尾,23094,27
長居,11092,27
長滝,1900,27
長瀬,30889,27
長田,0,27
門真市,47769,27
関大前,27199,27
関目,12456,27
関西空港,29074,27
阿倍野,2003,27
難波,255598,27
額田,3490,27
香里園,50377,27
駒ヶ谷,1417,27
高井田中央,10932,27
高安,11202,27
高安山,42,27
高師浜,1652,27
高石,10131,27
高見ノ里,6619,27
高須神社,457,27
高鷲,6647,27
鳥取ノ荘,3507,27
鴫野,40256,27
鴻池新田,27096,27
鶴原,3343,27
鶴橋,361585,27
みなとじま,16841,28
みなと元町,3652,28
アイランドセンター,18908,28
アイランド北口,8533,28
ウッディタウン中央,3850,28
ハーバーランド,15458,28
フラワータウン,5604,28
ポートターミナル,828,28
マリンパーク,7148,28
一の鳥居,749,28
三宮,198258,28
三宮・花時計前,16510,28
三日月,280,28
三木,1789,28
三木上の丸,383,28
三田,35890,28
三田本町,629,28
上月,76,28
上沢,7752,28
上郡,498,28
下滝,110,28
中八木,2559,28
中公園,7909,28
中埠頭,3269,28
中央市場前,6856,28
中山寺,18948,28
丸山,1132,28
丹波大山,172,28
丹波竹田,298,28
久下村,8,28
久寿川,4361,28
久崎,80,28
二郎,209,28
五社,2083,28
京コンピュータ前,4341,28
京口,2196,28
人丸前,1242,28
仁川,24791,28
仁豊野,2090,28
今津,24226,28
伊丹,72828,28
伊保,2194,28
住吉,26938,28
佐用,1300,28
余部,4508,28
備前福河,56,28
八家,2407,28
出屋敷,12432,28
加古川,0,28
北伊丹,11266,28
北埠頭,1837,28
北条町,524,28
北鈴蘭台,12356,28
医療センター,15150,28
千本,62,28
南ウッディタウン,1838,28
南公園,5193,28
南矢代,338,28
南魚崎,1790,28
厄神,1708,28
古市,452,28
名谷,52176,28
和田山,0,28
和田岬,21666,28
唐櫃台,3131,28
坂越,1416,28
塚口,23312,28
夙川,0,28
多田,7050,28
夢前川,1633,28
大倉山,11676,28
大塩,3976,28
大村,1012,28
大池,3538,28
大物,8427,28
大石,9635,28
大蔵谷,1854,28
天和,486,28
太市,794,28
妙法寺,33816,28
妻鹿,2158,28
姫路,0,28
宝塚,62328,28
宝塚南口,11529,28
寺前,804,28
小林,14891,28
小野,3489,28
小野町,796,28
尼崎,0,28
尼崎センタープール前,10656,28
尾上の松,3229,28
山の街,4666,28
山下,6692,28
山陽垂水,9939,28
山陽塩屋,1227,28
山陽天満,1777,28
山陽姫路,23600,28
山陽明石,25715,28
山陽曽根,2748,28
山陽網干,3484,28
山陽須磨,2570,28
山陽魚住,1973,28
岡場,12324,28
岩屋,11334,28
川西池田,39574,28
川西能勢口,0,28
市場,623,28
市島,458,28
市民広場,15979,28
平松,1105,28
平福,26,28
平野,6884,28
広畑,1616,28
広野,2360,28
広野ゴルフ場前,984,28
御崎公園,6874,28
志染,3685,28
恵比須,1298,28
手柄,1889,28
打出,16068,28
押部谷,1516,28
播州赤穂,8274,28
播磨下里,87,28
播磨徳久,196,28
播磨新宮,2518,28
播磨横田,54,28
播磨町,3743,28
播磨高岡,3332,28
新三田,28880,28
新井,232,28
新伊丹,6744,28
新在家,11313,28
新神戸,46476,28
新西脇,14,28
新野,1084,28
新長田,61290,28
日岡,1220,28
日本へそ公園,20,28
日生中央,10662,28
旧居留地・大丸前,4022,28
月見山,4782,28
有馬口,918,28
有馬温泉,3385,28
木幡,831,28
木津,1122,28
本竜野,3934,28
本黒田,66,28
杭瀬,8871,28
東二見,7037,28
東垂水,1210,28
東觜崎,878,28
東須磨,2791,28
東鳴尾,2134,28
板宿,44206,28
林崎松江海岸,4533,28
柏原,1660,28
栄,1391,28
横山,4814,28
樫山,598,28
武庫川,28904,28
武庫川団地前,7542,28
武田尾,1260,28
比延,22,28
江井ヶ島,3775,28
河合西,292,28
河野原円心,5,28
法華口,78,28
洲先,1903,28
浜の宮,3729,28
深江,17959,28
湊川,12510,28
湊川公園,20838,28
溝口,3452,28
滝,96,28
滝の茶屋,4619,28
滝山,1959,28
滝野,552,28
猪名寺,18902,28
甘地,1716,28
生瀬,3586,28
生野,498,28
田原,66,28
田尾寺,6314,28
甲子園,53400,28
甲東園,26193,28
甲陽園,10056,28
畦野,7759,28
白浜の宮,4815,28
的形,1633,28
相生,0,28
相野,6470,28
県庁前,11290,28
石井,5,28
石屋川,6794,28
石生,758,28
砥堀,1334,28
社町,896,28
神戸空港,7144,28
神野,2142,28
神鉄六甲,1118,28
神鉄道場,2756,28
福崎,3348,28
稲野,7750,28
竹田,308,28
笹部,125,28
箕谷,2435,28
粟生,4470,28
絹延橋,1884,28
網引,55,28
緑が丘,3152,28
舞子公園,3663,28
船町口,16,28
花山,3885,28
苅藻,3718,28
苔縄,8,28
苦楽園口,12174,28
草野,484,28
荒井,9372,28
葉多,207,28
藍本,330,28
藍那,161,28
藤江,2785,28
西二見,4313,28
西代,6094,28
西宮北口,0,28
西宮名塩,17846,28
西新町,4312,28
西栗栖,176,28
西江井ヶ島,2748,28
西灘,5437,28
西相生,1802,28
西脇市,1594,28
西舞子,1864,28
西鈴蘭台,8984,28
西飾磨,1812,28
谷上,26293,28
谷川,854,28
貿易センター,3437,28
逆瀬川,24284,28
道場,1910,28
道場南口,3314,28
野里,3656,28
鈴蘭台,19357,28
鈴蘭台西口,1333,28
長,35,28
長田,16217,28
長谷,42,28
門戸厄神,20251,28
阪神国道,3770,28
霞ヶ丘,2232,28
青倉,116,28
青木,15125,28
須磨寺,1872,28
須磨浦公園,1066,28
飾磨,7708,28
香呂,3152,28
香櫨園,11042,28
駒ヶ林,2626,28
魚崎,41011,28
鵯越,1045,28
鶴居,448,28
黒井,920,28
黒田庄,64,28
鼓滝,5318,28
ファミリー公園前,501,29
一分,5154,29
三本松,151,29
三輪,1316,29
下市口,2341,29
九条,4683,29
二上,9326,29
二上山,1192,29
二上神社口,799,29
二階堂,3479,29
五位堂,26874,29
五条,2696,29
京終,1446,29
但馬,893,29
佐味田川,1446,29
信貴山下,2606,29
元山上口,1465,29
八木西口,5867,29
六田,918,29
前栽,3931,29
勢野北口,1825,29
北宇智,372,29
南生駒,5256,29
吉野,714,29
吉野口,2537,29
吉野神宮,489,29
坊城,3119,29
壺阪山,1156,29
大和上市,499,29
大和二見,414,29
大和八木,31478,29
大和新庄,730,29
大和朝倉,2125,29
大和西大寺,48072,29
大和高田,15019,29
大福,1642,29
大輪田,2264,29
大阿太,104,29
天理,15058,29
奈良,0,29
学園前,51146,29
学研北生駒,6419,29
学研奈良登美ヶ丘,14165,29
宝山寺,999,29
室生口大野,956,29
富雄,28125,29
尺土,4348,29
尼ヶ辻,4738,29
岡寺,1367,29
巻向,720,29
市尾,441,29
帯解,940,29
平城,3045,29
平端,4341,29
平群,2979,29
当麻寺,1324,29
御所,1144,29
忍海,1525,29
志都美,3984,29
掖上,264,29
新ノ口,4029,29
新大宮,28890,29
新王寺,7152,29
東山,3761,29
東生駒,17682,29
松塚,1362,29
柳本,1186,29
桜井,20257,29
梅屋敷,26,29
榛原,8833,29
橿原神宮前,17815,29
橿原神宮西口,2124,29
櫟本,1852,29
池部,1186,29
浮孔,1552,29
玉手,858,29
王寺,9656,29
生駒,47254,29
生駒山上,295,29
田原本,13250,29
畝傍,962,29
畝傍御陵前,4043,29
畠田,3444,29
白庭台,9339,29
真菅,5036,29
石見,2142,29
磐城,1196,29
福神,2423,29
竜田川,1867,29
笠縫,2536,29
筒井,7779,29
箸尾,1722,29
築山,3089,29
結崎,3885,29
耳成,3865,29
菖蒲池,12583,29
菜畑,3686,29
萩の台,2634,29
葛,381,29
薬水,85,29
西ノ京,7800,29
西田原本,5690,29
越部,577,29
近鉄下田,5194,29
近鉄奈良,55330,29
近鉄御所,3194,29
近鉄新庄,2600,29
近鉄郡山,17558,29
金橋,1090,29
長柄,1140,29
長谷寺,1226,29
関屋,4122,29
霞ヶ丘,2,29
飛鳥,2112,29
香久山,332,29
香芝,3172,29
高の原,34836,29
高田,4384,29
高田市,7407,29
鳥居前,682,29
黒田,766,29
上古沢,14,30
下井阪,910,30
下兵庫,282,30
下古沢,46,30
中松江,926,30
中飯降,742,30
九度山,579,30
二里ヶ浜,389,30
交通センター前,228,30
伊太祈曽,776,30
八幡前,1525,30
六十谷,7146,30
加太,717,30
千旦,402,30
吉礼,430,30
名手,978,30
和歌山,4562,30
和歌山大学前,9361,30
和歌山市,16723,30
和歌山港,504,30
大池遊園,205,30
大谷,192,30
妙寺,554,30
学文路,470,30
学門,60,30
山東,72,30
岡崎前,965,30
岩出,3946,30
市役所前,40,30
布施屋,724,30
御坊,0,30
御幸辻,2760,30
打田,1200,30
日前宮,703,30
東松江,965,30
林間田園都市,8161,30
極楽橋,68,30
橋本,12604,30
甘露寺前,592,30
田中口,166,30
田井ノ瀬,664,30
磯ノ浦,144,30
神前,604,30
竈山,509,30
笠田,1498,30
粉河,2000,30
紀ノ川,2823,30
紀伊,7896,30
紀伊中ノ島,860,30
紀伊小倉,1338,30
紀伊山田,1288,30
紀伊御坊,50,30
紀伊清水,271,30
紀伊神谷,14,30
紀伊細川,21,30
紀伊長田,198,30
紀見峠,565,30
船戸,530,30
西ノ庄,675,30
西山口,279,30
西御坊,50,30
西笠田,94,30
貴志,1342,30
隅田,456,30
高野下,93,30
高野口,1206,30
三本松口,392,31
上石見,22,31
上菅,12,31
上道,356,31
中浜,102,31
丹比,102,31
伯耆大山,0,31
伯耆溝口,168,31
余子,690,31
八東,60,31
八頭高校前,367,31
博労町,470,31
和田浜,200,31
因幡社,46,31
因幡船岡,35,31
国英,38,31
土師,48,31
境港,874,31
大篠津町,118,31
安部,54,31
富士見町,306,31
山郷,14,31
岸本,210,31
後藤,866,31
徳丸,32,31
恋山形,5,31
智頭,2878,31
東郡家,148,31
根雨,436,31
武庫,60,31
江尾,104,31
河原,146,31
河崎口,406,31
津ノ井,1154,31
生山,194,31
用瀬,184,31
米子,0,31
米子空港,388,31
若桜,249,31
那岐,46,31
郡家,2014,31
隼,45,31
馬場崎町,460,31
高松町,90,31
鳥取,0,31
鷹狩,82,31
黒坂,48,31
一畑口,154,32
三井野原,6,32
下久野,8,32
乙原,0,32
亀嵩,46,32
伊野灘,57,32
作木口,0,32
八川,0,32
出雲三成,154,32
出雲八代,32,32
出雲坂根,2,32
出雲大東,308,32
出雲大社前,848,32
出雲横田,200,32
出雲科学館パークタウン前,50,32
加茂中,120,32
千金,0,32
南大東,12,32
南宍道,6,32
口羽,0,32
因原,0,32
園,65,32
大寺,15,32
大津町,269,32
宇都井,0,32
宍道,0,32
川平,0,32
川戸,0,32
川跡,417,32
布崎,139,32
幡屋,82,32
旅伏,160,32
日原,82,32
日登,14,32
明塚,0,32
朝日ヶ丘,198,32
木次,300,32
木路原,0,32
本俣賀,4,32
東青原,24,32
松江しんじ湖温泉,1815,32
松江イングリッシュガーデン前,103,32
松江フォーゲルパーク,68,32
武志,51,32
江平,0,32
江津,0,32
江津本町,0,32
沢谷,0,32
津ノ森,151,32
津和野,392,32
浜原,0,32
浜山公園北口,212,32
潮,0,32
田津,0,32
益田,0,32
石見川本,0,32
石見川越,0,32
石見松原,0,32
石見横田,12,32
石見簗瀬,0,32
石見都賀,0,32
秋鹿町,158,32
竹,0,32
粕淵,0,32
美談,46,32
長江,43,32
雲州平田,1144,32
電鉄出雲市,1546,32
青原,26,32
青野山,4,32
高ノ宮,23,32
高浜,92,32
鹿賀,0,32
あわくら温泉,15,33
いずえ,56,33
三浦,28,33
三菱自工前,119,33
三谷,65,33
上の町,894,33
中国勝山,654,33
中納言,308,33
丹治部,34,33
久々原,150,33
久世,372,33
亀甲,444,33
井倉,60,33
井原,801,33
伊部,874,33
伊里,392,33
佐良山,34,33
倉敷,0,33
倉敷市,4558,33
備中呉妹,87,33
備中川面,110,33
備中広瀬,106,33
備中神代,16,33
備中箕島,352,33
備中高松,2584,33
備中高梁,3684,33
備前一宮,2010,33
備前三門,2130,33
備前原,218,33
備前片上,292,33
備前片岡,468,33
備前田井,634,33
備前西市,3406,33
児島,9694,33
八浜,870,33
刑部,92,33
勝間田,264,33
古見,138,33
吉備津,1214,33
吉備真備,514,33
坂根,4,33
坪井,42,33
城下,2238,33
大元,3618,33
大原,92,33
大多羅,3188,33
大安寺,682,33
大富,470,33
大雲寺前,158,33
妹尾,6344,33
子守唄の里高屋,192,33
宇野,2466,33
宮本武蔵,10,33
富原,56,33
寒河,368,33
小原,60,33
小橋,202,33
小田,100,33
岡山,0,33
岡山駅前,7498,33
岩山,8,33
川辺宿,189,33
市岡,16,33
常山,904,33
常盤,362,33
建部,368,33
弓削,406,33
弥生,593,33
彦崎,584,33
新西大寺町筋,155,33
新見,1452,33
新郷,16,33
方谷,26,33
日生,680,33
日羽,176,33
早島,2476,33
早雲の里荏原,209,33
月田,122,33
服部,1640,33
木見,390,33
木野山,56,33
東中央町,169,33
東岡山,0,33
東津山,236,33
東総社,1866,33
林野,232,33
柳川,482,33
栄,552,33
植松,370,33
楢原,50,33
水島,1327,33
法界院,2584,33
津山,3846,33
津山口,44,33
浦田,722,33
清輝橋,646,33
清音,4724,33
牧山,54,33
玉柏,188,33
球場前,404,33
田町,122,33
県庁通り,1948,33
矢掛,733,33
矢神,18,33
知和,8,33
石蟹,208,33
神目,126,33
福井,536,33
福渡,522,33
総社,7312,33
美作加茂,128,33
美作千代,68,33
美作土居,56,33
美作大崎,48,33
美作江見,106,33
美作河井,24,33
美作滝尾,60,33
美作落合,416,33
美作追分,48,33
美袋,552,33
茶屋町,7784,33
西勝間田,24,33
西大寺,7408,33
西大寺町,444,33
西富井,702,33
西川緑道公園,406,33
西片上,1190,33
西粟倉,5,33
誕生寺,92,33
豪渓,282,33
足守,1326,33
足立,8,33
迫川,460,33
邑久,3596,33
郵便局前,551,33
野々口,280,33
野馳,50,33
金川,1680,33
長船,2406,33
門田屋敷,623,33
院庄,108,33
香登,596,33
高野,66,33
あき亀山,1196,34
かるが浜,416,34
みどり中央,1018,34
みどり中街,197,34
みどり口,842,34
七塚,6,34
七軒茶屋,1782,34
万能倉,1578,34
三原,0,34
三次,842,34
三滝,1100,34
三良坂,68,34
上三田,102,34
上下,136,34
上八木,1114,34
上安,4882,34
上川立,38,34
上戸手,1006,34
上深川,588,34
下和知,8,34
下川辺,34,34
下深川,2980,34
不動院前,4602,34
中三田,168,34
中島,1734,34
中深川,680,34
中畑,4,34
中筋,8221,34
中電前,3350,34
井原市,130,34
井口,2138,34
仁方,972,34
伊賀和志,0,34
伴,2947,34
伴中央,1457,34
佐伯区役所前,2553,34
信木,0,34
備後三川,38,34
備後三日市,4,34
備後八幡,0,34
備後安田,16,34
備後庄原,232,34
備後本庄,818,34
備後矢野,20,34
備後落合,26,34
備後西城,68,34
元宇品口,1174,34
八丁堀,2721,34
八次,192,34
内名,4,34
別院前,380,34
十日市町,799,34
南区役所前,1927,34
古市,4082,34
古市橋,3706,34
古江,5313,34
可部,4564,34
吉名,186,34
吉浦,2350,34
吉田口,74,34
吉舎,278,34
向原,424,34
呉,19986,34
呉ポートピア,1580,34
商工センター入口,6832,34
土橋,0,34
地御前,1021,34
坂,6634,34
城北,2042,34
塩町,268,34
大乗,222,34
大原,2938,34
大塚,1721,34
大町,18267,34
天応,1124,34
女学院前,291,34
宇品三丁目,1862,34
宇品二丁目,1779,34
宇品五丁目,1427,34
宇品四丁目,1911,34
安東,8029,34
安浦,1086,34
安登,676,34
安芸川尻,1402,34
安芸幸崎,356,34
安芸津,608,34
安芸矢口,3834,34
安芸長束,6080,34
安芸長浜,336,34
安芸阿賀,4606,34
宮内,2222,34
家庭裁判所前,276,34
寺町,870,34
小奴可,2,34
小屋浦,756,34
尾関山,0,34
山ノ内,2,34
川原石,990,34
市役所前,3545,34
平子,4,34
広,7112,34
広域公園前,3127,34
広大附属学校前,2011,34
広島,154338,34
広電五日市,7428,34
広電宮島口,6312,34
広電廿日市,3455,34
広電本社前,3139,34
広電西広島（己斐）,0,34
広電阿品,3203,34
府中,1842,34
廿日市市役所前（平良）,3119,34
式敷,0,34
御幸橋,1379,34
御領,93,34
志和口,494,34
志和地,64,34
忠海,852,34
戸坂,3090,34
戸手,648,34
所木,0,34
新市,862,34
新広,6812,34
新白島,12653,34
日赤病院前,2446,34
本通,31420,34
東城,22,34
東高須,1835,34
梅林,2612,34
